,0,1,2,3
0,0,0.731,0.005,0.268
1,0,0.289,0.001,0.704
2,0,0.237,0.003,0.819
3,2,0.007,0.0,0.013
4,2,0.184,0.001,0.189
5,2,1.961,0.011,0.215
6,0,0.742,0.015,0.316
7,0,0.257,0.003,0.56
8,2,0.044,0.0,0.113
9,2,0.059,0.001,0.1
10,2,0.05,0.001,0.826
11,2,0.112,0.001,0.494
12,2,1.813,0.006,0.198
13,1,0.421,0.003,0.241
14,0,1.451,0.004,0.57
15,2,0.134,0.003,0.681
16,0,0.362,0.006,0.354
17,0,0.973,0.004,0.382
18,2,0.019,0.0,0.239
19,2,0.053,0.001,0.056
20,2,0.159,0.002,0.176
21,1,0.13,0.001,0.255
22,2,0.046,0.0,0.094
23,0,0.185,0.001,0.297
24,2,0.004,0.0,0.008
25,1,0.182,0.004,0.156
26,0,0.289,0.003,0.278
27,2,0.019,0.0,0.084
28,1,0.272,0.002,0.232
29,2,2.533,0.008,0.199
30,2,0.44,0.001,0.649
31,2,0.047,0.001,3.303
32,2,0.104,0.001,0.102
33,1,0.118,0.002,0.257
34,2,0.086,0.001,2.03
35,0,0.971,0.014,0.268
36,1,0.419,0.003,0.245
37,2,0.125,0.001,0.656
38,0,0.164,0.003,1.216
39,1,0.46,0.002,0.209
40,0,0.175,0.001,0.617
41,1,0.107,0.001,0.171
42,0,0.46,0.006,0.346
43,0,4.358,0.014,0.285
44,2,1.098,0.006,0.196
45,1,0.957,0.006,0.24
46,2,0.126,0.001,0.213
47,0,0.246,0.002,0.373
48,0,0.896,0.006,0.267
49,0,0.21,0.003,0.349
50,2,0.04,0.0,0.951
51,2,0.231,0.003,0.208
52,0,1.529,0.004,0.515
53,2,0.044,0.0,0.113
54,0,3.999,0.012,0.279
55,2,0.366,0.001,0.36
56,0,0.202,0.004,0.321
57,1,0.352,0.005,0.193
58,0,0.263,0.004,0.3
59,0,0.399,0.006,0.526
60,1,0.265,0.002,0.212
61,0,0.327,0.002,0.31
62,2,0.075,0.001,0.091
63,0,0.251,0.003,0.355
64,2,0.629,0.003,0.185
65,0,0.306,0.002,0.376
66,2,1.382,0.005,0.182
67,2,0.04,0.001,0.107
68,1,0.574,0.004,0.232
69,2,0.117,0.001,8.295
70,0,0.306,0.003,0.341
71,0,0.261,0.005,0.552
72,2,0.069,0.001,0.104
73,0,0.459,0.006,0.355
74,0,3.04,0.01,0.321
75,0,0.517,0.012,0.461
76,0,0.234,0.004,0.667
77,1,0.107,0.001,0.286
78,2,0.44,0.001,0.649
79,0,0.787,0.007,0.251
80,0,1.461,0.011,0.269
81,2,4.822,0.014,0.229
82,0,0.397,0.007,0.398
83,2,0.122,0.002,0.209
84,2,0.199,0.002,0.213
85,2,2.625,0.007,0.197
86,2,0.034,0.0,0.254
87,2,0.026,0.0,0.068
88,1,0.535,0.004,0.234
89,2,0.048,0.0,0.107
90,2,0.107,0.001,0.241
91,0,1.084,0.005,0.334
92,2,0.135,0.003,0.352
93,1,0.152,0.003,1.107
94,2,0.413,0.002,0.152
95,2,0.089,0.002,0.263
96,2,0.033,0.001,0.063
97,0,0.597,0.003,0.391
98,2,0.913,0.008,0.215
99,1,0.189,0.005,1.232
